(113.407576, 23.056611), (113.407434, 23.056611)
(113.407576, 23.056282), (113.407569, 23.056036)
(113.407569, 23.056036), (113.408488, 23.056027)
(113.408488, 23.056027), (113.408489, 23.056272)
(113.408489, 23.056272), (113.407576, 23.056282)
(113.407410, 23.055949), (113.407518, 23.055964)
(113.407518, 23.055964), (113.407523, 23.055623)
(113.407523, 23.055623), (113.407474, 23.055601)
(113.407474, 23.055601), (113.407401, 23.055634)
(113.407401, 23.055634), (113.407410, 23.055949)
(113.407404, 23.055551), (113.407377, 23.055162)
(113.407377, 23.055162), (113.407482, 23.055164)
(113.407482, 23.055164), (113.407465, 23.055540)
(113.407465, 23.055540), (113.407404, 23.055551)
(113.407365, 23.055078), (113.407333, 23.054799)
(113.407333, 23.054799), (113.407452, 23.054788)
(113.407452, 23.054788), (113.407481, 23.055067)
(113.407481, 23.055067), (113.407365, 23.055078)
(113.407330, 23.054686), (113.407453, 23.054686)
(113.407453, 23.054686), (113.407491, 23.054263)
(113.407491, 23.054263), (113.407431, 23.054260)
(113.407431, 23.054260), (113.407330, 23.054686)
(113.407605, 23.055815), (113.407607, 23.055522)
(113.407607, 23.055522), (113.407501, 23.055540)
(113.407501, 23.055540), (113.407529, 23.055108)
(113.407529, 23.055108), (113.407538, 23.054792)
(113.407538, 23.054792), (113.408689, 23.054829)
(113.408689, 23.054829), (113.408492, 23.055580)
(113.408492, 23.055580), (113.408457, 23.055936)
(113.408457, 23.055936), (113.407605, 23.055815)
(113.407516, 23.054686), (113.407532, 23.054278)
(113.407532, 23.054278), (113.407862, 23.054224)
(113.407862, 23.054224), (113.408442, 23.054371)
(113.408442, 23.054371), (113.408400, 23.054691)
(113.408400, 23.054691), (113.407516, 23.054686)
(113.407422, 23.054193), (113.407336, 23.054141)
(113.407336, 23.054141), (113.407322, 23.054062)
(113.407322, 23.054062), (113.407546, 23.053916)
(113.407546, 23.053916), (113.407832, 23.053889)
(113.407832, 23.053889), (113.407819, 23.054079)
(113.407819, 23.054079), (113.407422, 23.054193)
(113.408112, 23.053543), (113.408115, 23.053155)
(113.408115, 23.053155), (113.408428, 23.052857)
(113.408428, 23.052857), (113.408677, 23.053132)
(113.408677, 23.053132), (113.408740, 23.053439)
(113.408740, 23.053439), (113.408112, 23.053543)
(113.407897, 23.054135), (113.407901, 23.053849)
(113.407901, 23.053849), (113.407930, 23.053663)
(113.407930, 23.053663), (113.408747, 23.053542)
(113.408747, 23.053542), (113.408837, 23.053893)
(113.408837, 23.053893), (113.408479, 23.054271)
(113.408479, 23.054271), (113.407897, 23.054135)
(113.409187, 23.057491), (113.408680, 23.056758)
(113.408680, 23.056758), (113.408579, 23.056293)
(113.408579, 23.056293), (113.408544, 23.055982)
(113.408544, 23.055982), (113.408574, 23.055590)
(113.408574, 23.055590), (113.408778, 23.054795)
(113.408778, 23.054795), (113.409173, 23.054405)
(113.409173, 23.054405), (113.409602, 23.054209)
(113.409602, 23.054209), (113.409582, 23.054131)
(113.409582, 23.054131), (113.409176, 23.054319)
(113.409176, 23.054319), (113.409117, 23.054262)
(113.409117, 23.054262), (113.409210, 23.054193)
(113.409210, 23.054193), (113.410426, 23.053746)
(113.410426, 23.053746), (113.411454, 23.053694)
(113.411454, 23.053694), (113.411499, 23.054684)
(113.411499, 23.054684), (113.411058, 23.054710)
(113.411058, 23.054710), (113.411066, 23.054812)
(113.411066, 23.054812), (113.411495, 23.054801)
(113.411495, 23.054801), (113.411535, 23.056146)
(113.411535, 23.056146), (113.411653, 23.056581)
(113.411653, 23.056581), (113.409187, 23.057491)
(113.410496, 23.053625), (113.410666, 23.053222)
(113.410666, 23.053222), (113.411229, 23.052937)
(113.411229, 23.052937), (113.411339, 23.053067)
(113.411339, 23.053067), (113.411478, 23.053491)
(113.411478, 23.053491), (113.410496, 23.053625)
(113.411596, 23.054321), (113.411593, 23.053623)
(113.411593, 23.053623), (113.412554, 23.053625)
(113.412554, 23.053625), (113.412543, 23.054312)
(113.412543, 23.054312), (113.411596, 23.054321)
(113.411605, 23.055147), (113.411601, 23.054455)
(113.411601, 23.054455), (113.412537, 23.054468)
(113.412537, 23.054468), (113.412529, 23.055138)
(113.412529, 23.055138), (113.411605, 23.055147)
(113.411610, 23.056092), (113.411615, 23.055287)
(113.411615, 23.055287), (113.412537, 23.055277)
(113.412537, 23.055277), (113.412518, 23.056092)
(113.412518, 23.056092), (113.411610, 23.056092)
(113.410698, 23.053104), (113.410926, 23.052390)
(113.410926, 23.052390), (113.411182, 23.052827)
(113.411182, 23.052827), (113.410698, 23.053104)
